ugly [1]:1:2679
um [1]:1:631
unable [1]:1:2367
uncommon [1]:1:2141
unconscious [1]:1:1260
under [1]:2:1809,3109
understood [1]:1:379
unexpected [1]:1:1022
unfortunate [1]:1:2551
unmoving [1]:1:990
unsure [1]:1:635
until [1]:3:2095,2600,3240
up [1]:11:132,832,1052,1802,1830,1968,2109,2358,2641,3108,3356
upon [1]:1:2179
upset [1]:1:3830
upsetting [1]:1:763
urgent [1]:1:1836
us [1]:14:239,384,1323,1762,1949,1955,1961,2122,2821,3005,3181,3670,3714,3899
used [1]:1:1102
usual [1]:1:958
